,Unix_time,hv_qber,pm_qber,qber,Additional_data
0,1742048360.5327685,0.49087548906121314,0.250171888419335,0.389579721954558,"[-107, 471, -2893, 4539]"
1,1742048360.9219482,0.8368191189636621,0.5613697567350986,0.7125314875989492,"[-3212, 2777, -833, 4423]"
2,1742048361.3193548,0.06862321944368328,0.32087538671589827,0.23202387813207195,"[1036, 2046, 2679, 1348]"
3,1742048361.7193658,0.6432654904431173,0.023999241094290663,0.4551738430358922,"[-2476, -2628, 3152, -2070]"
4,1742048362.111179,0.7747064548935167,0.7338677342944004,0.7545634309625922,"[449, 4702, -4153, -3078]"
5,1742048362.5017464,0.2808727937572041,0.9173184342633728,0.6783666545874666,"[-2867, -2846, 4022, 2926]"
6,1742048362.9019535,0.46074007053884447,0.353837024756587,0.4107809955978568,"[-1071, 1165, 749, 3905]"
7,1742048363.3024325,0.6450980366858899,0.6702432034821285,0.6577907831331994,"[-1909, -950, -439, -2861]"
8,1742048363.6987221,0.8115157448365522,0.8683753687435918,0.8404265539469207,"[915, 3993, -3951, 3363]"
9,1742048364.0911427,0.22923950968797377,0.5321558832295552,0.40971980477993164,"[-3211, -27, 2363, -731]"
10,1742048364.4705145,0.8334939726901437,0.6955472900664632,0.7676256363715319,"[4223, -11, 4169, -4839]"
11,1742048364.8693678,0.010775862031807373,0.5052464850441553,0.3573444625651854,"[489, 4455, 3263, 708]"
12,1742048365.2283642,0.5334230577535287,0.1814195387617058,0.39840507501011735,"[-3915, 4690, -1928, 151]"
13,1742048365.620602,0.11306256820878134,0.14507056130256304,0.13005501160394786,"[-4498, 2501, 2777, 4575]"
14,1742048366.0109456,0.11360140588494341,0.2707661285955385,0.20762896692616295,"[-1270, 2354, 504, 932]"
15,1742048366.3939137,0.43700968920347144,0.8078299077046632,0.6494484691797492,"[-974, 2004, -332, 1973]"
16,1742048366.7735982,0.11084284421126306,0.08829609199599002,0.10020562852107327,"[-3052, -2336, -135, -196]"
17,1742048367.1614757,0.9756648229777629,0.3426467616015385,0.7312074432171253,"[-1288, -2765, -3382, 1076]"
18,1742048367.5625238,0.8985507214321491,0.9593455114083991,0.9294453209430016,"[-2079, 911, -2989, 1223]"
19,1742048367.9478064,0.8985507214321491,0.18109810955017372,0.6481473305772701,"[2056, -3279, 2498, -4060]"
20,1742048368.342963,0.8884325771811723,0.7655882340931949,0.8292881852464546,"[606, -3915, 1049, -5000]"
21,1742048368.7146482,0.6585311216890959,0.4243893159594878,0.5539718087293164,"[-3023, -5000, -362, -493]"
22,1742048369.1033256,0.8185929615332946,0.617375417651679,0.7249989113758843,"[498, -5000, -1090, 1411]"
23,1742048369.494487,0.8185929615332946,0.38824480936353767,0.6406358047555489,"[-1084, -4177, -273, -1468]"
24,1742048369.8816993,0.8335628986829645,0.29200189260084897,0.6245367128292875,"[-3760, -4601, -5000, 335]"
25,1742048370.2793367,0.41553690409972227,0.3885496941030133,0.4022696753773064,"[-4410, -2723, -2934, 4259]"
26,1742048370.6797888,0.3735267438856691,0.29944729522392854,0.3385195053573404,"[-3062, -1745, -135, 1299]"
27,1742048371.0627947,0.7717338483856868,0.781766840206911,0.776766543174743,"[450, -5000, -206, 1060]"
28,1742048371.4445214,0.7231775220220779,0.7385436587957801,0.7309009728771232,"[-1729, -5000, -2204, 2117]"
29,1742048371.8236432,0.6837844064444712,0.7663102116883191,0.726220508879505,"[-2083, -3312, 60, 2190]"
30,1742048372.2110515,0.092218400370702,0.057078957515240836,0.07668846314132836,"[-3418, -4927, -2488, -1137]"
31,1742048394.5957322,0.31107601963067527,0.7518007190847528,0.5753140929986051,"[-4354, -628, -176, -2362]"
32,1742048394.962994,0.9982762826957842,0.22409494329455285,0.7234549330134883,"[4735, -2905, 2734, -223]"
33,1742048395.3551104,0.11330265136689843,0.5358442316281339,0.38727673011421304,"[1788, -893, -2646, -4564]"
34,1742048395.754589,0.45825645587359237,0.5448003934150839,0.5033917202413325,"[4944, -3196, 1222, -4133]"
35,1742048396.130945,0.45825645587359237,0.5325503968447562,0.49679417495041794,"[-1710, -1777, 3001, -1972]"
36,1742048396.4859827,0.34286347396147715,0.622738000593646,0.5026718507934894,"[-1812, 3165, -4371, -2716]"
37,1742048396.8414915,0.1252919936282285,0.08046636073323189,0.10529225725804023,"[-2195, 2060, -2629, -3318]"
